model,experiment_id,threshold,precision,recall,f1,roc_auc,tp,fp,fn,tn,feature_set,sampling_method,pca_applied,timestamp
LogisticRegression,LOGREG_v1_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.2,0.2,0.03167420814479638,0.9545454545454546,0.061313868613138686,0.581198347107438,21,642,1,18,full,none,False,2025-11-15T11:29:22.065004
LogisticRegression,LOGREG_v1_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.3,0.3,0.031914893617021274,0.9545454545454546,0.061764705882352944,0.581198347107438,21,637,1,23,full,none,False,2025-11-15T11:29:23.076008
LogisticRegression,LOGREG_v1_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.4,0.4,0.03211009174311927,0.9545454545454546,0.0621301775147929,0.581198347107438,21,633,1,27,full,none,False,2025-11-15T11:29:23.705908
LogisticRegression,LOGREG_v1_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.5,0.5,0.0395778364116095,0.6818181818181818,0.07481296758104738,0.581198347107438,15,364,7,296,full,none,False,2025-11-15T11:29:24.326948
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.2_pcaTrue,0.2,0.03167420814479638,0.9545454545454546,0.061313868613138686,0.581198347107438,21,642,1,18,full,none,True,2025-11-15T11:29:42.740205
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.3_pcaTrue,0.3,0.031914893617021274,0.9545454545454546,0.061764705882352944,0.581198347107438,21,637,1,23,full,none,True,2025-11-15T11:29:43.627654
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.4_pcaTrue,0.4,0.03211009174311927,0.9545454545454546,0.0621301775147929,0.581198347107438,21,633,1,27,full,none,True,2025-11-15T11:29:44.251320
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.5_pcaTrue,0.5,0.0395778364116095,0.6818181818181818,0.07481296758104738,0.581198347107438,15,364,7,296,full,none,True,2025-11-15T11:29:44.844777
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.2_pcaTrue,0.2,0.03167420814479638,0.9545454545454546,0.061313868613138686,0.581198347107438,21,642,1,18,full,none,False,2025-11-15T11:35:05.645246
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.3_pcaTrue,0.3,0.031914893617021274,0.9545454545454546,0.061764705882352944,0.581198347107438,21,637,1,23,full,none,False,2025-11-15T11:35:06.273952
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.4_pcaTrue,0.4,0.03211009174311927,0.9545454545454546,0.0621301775147929,0.581198347107438,21,633,1,27,full,none,False,2025-11-15T11:35:06.912526
LogisticRegression,LOGREG_v0_baseline_C1.00_l2_liblinear_cwbalanced_sampnone_th0.5_pcaTrue,0.5,0.0395778364116095,0.6818181818181818,0.07481296758104738,0.581198347107438,15,364,7,296,full,none,False,2025-11-15T11:35:07.546697
LogisticRegression,LOGREG_v1_C1.00_l2_liblinear_cwbalanced_sampnone_th0.36,0.36,0.03201219512195122,0.9545454545454546,0.061946902654867256,0.581198347107438,21,635,1,25,full,none,False,2025-11-15T11:39:56.195966
LogisticRegression,LOGREG_v1_C1.00_l2_liblinear_cwbalanced_sampnone_th0.38,0.38,0.03211009174311927,0.9545454545454546,0.0621301775147929,0.581198347107438,21,633,1,27,full,none,False,2025-11-15T11:39:56.924375
LogisticRegression,LOGREG_v1_C1.00_l2_liblinear_cwbalanced_sampnone_th0.4,0.4,0.03211009174311927,0.9545454545454546,0.0621301775147929,0.581198347107438,21,633,1,27,full,none,False,2025-11-15T11:39:57.527684
LogisticRegression,LOGREG_v1_C1.00_l2_liblinear_cwbalanced_sampnone_th0.42,0.42,0.03211009174311927,0.9545454545454546,0.0621301775147929,0.581198347107438,21,633,1,27,full,none,False,2025-11-15T11:39:58.343948
LogisticRegression,LOGREG_v1_C1.00_l2_liblinear_cwbalanced_sampnone_th0.44,0.44,0.03215926493108729,0.9545454545454546,0.06222222222222222,0.581198347107438,21,632,1,28,full,none,False,2025-11-15T11:39:58.989212
