model,experiment_id,threshold,precision,recall,f1,roc_auc,tp,fp,fn,tn,feature_set,sampling_method,timestamp
RandomForest,RF_v0_baseline_ne100_mdNone_mss2_cwNone_smnone_th0.5,0.5,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.9721074380165289,4,2,18,658,full,none,2025-11-13T16:16:29.224277
RandomForest,RF_v1_ne100_md10_mss2_cwbalanced_smnone_th0.2,0.2,0.24285714285714285,0.7727272727272727,0.3695652173913043,0.9522727272727274,17,53,5,607,full,none,2025-11-13T16:16:32.588165
RandomForest,RF_v1_ne100_md10_mss2_cwbalanced_smnone_th0.3,0.3,0.3191489361702128,0.6818181818181818,0.43478260869565216,0.9522727272727274,15,32,7,628,full,none,2025-11-13T16:16:36.316155
RandomForest,RF_v1_ne100_md10_mss2_cwbalanced_smnone_th0.25,0.25,0.26785714285714285,0.6818181818181818,0.38461538461538464,0.9522727272727274,15,41,7,619,full,none,2025-11-13T16:16:39.905875
RandomForest,RF_v1_ne100_mdNone_mss2_cwNone_smnone_th0.2,0.2,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.9721074380165289,17,22,5,638,full,none,2025-11-13T16:17:21.277535
RandomForest,RF_v2_ne100_mdNone_mss2_cwbalanced_smnone_th0.2,0.2,0.42857142857142855,0.5454545454545454,0.48,0.931198347107438,12,16,10,644,full,none,2025-11-13T16:17:25.288807
RandomForest,RF_v3_ne100_mdNone_mss5_cwNone_smnone_th0.2,0.2,0.40476190476190477,0.7727272727272727,0.53125,0.9652548209366392,17,25,5,635,full,none,2025-11-13T16:17:30.721601
RandomForest,RF_v4_ne100_mdNone_mss5_cwbalanced_smnone_th0.2,0.2,0.3870967741935484,0.5454545454545454,0.4528301886792453,0.9593663911845731,12,19,10,641,full,none,2025-11-13T16:17:34.618813
RandomForest,RF_v5_ne100_md10_mss2_cwNone_smnone_th0.2,0.2,0.425,0.7727272727272727,0.5483870967741935,0.9682506887052342,17,23,5,637,full,none,2025-11-13T16:17:39.809254
RandomForest,RF_v6_ne100_md10_mss2_cwbalanced_smnone_th0.2,0.2,0.24285714285714285,0.7727272727272727,0.3695652173913043,0.9522727272727274,17,53,5,607,full,none,2025-11-13T16:17:43.396082
RandomForest,RF_v7_ne100_md10_mss5_cwNone_smnone_th0.2,0.2,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9694214876033059,17,21,5,639,full,none,2025-11-13T16:17:48.512436
RandomForest,RF_v8_ne100_md10_mss5_cwbalanced_smnone_th0.2,0.2,0.25,0.7727272727272727,0.37777777777777777,0.9526859504132231,17,51,5,609,full,none,2025-11-13T16:17:52.205901
RandomForest,RF_v9_ne100_md20_mss2_cwNone_smnone_th0.2,0.2,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.9721074380165289,17,22,5,638,full,none,2025-11-13T16:17:57.516183
RandomForest,RF_v10_ne100_md20_mss2_cwbalanced_smnone_th0.2,0.2,0.35555555555555557,0.7272727272727273,0.47761194029850745,0.9575757575757575,16,29,6,631,full,none,2025-11-13T16:18:01.176813
RandomForest,RF_v11_ne100_md20_mss5_cwNone_smnone_th0.2,0.2,0.40476190476190477,0.7727272727272727,0.53125,0.9652548209366392,17,25,5,635,full,none,2025-11-13T16:18:06.689426
RandomForest,RF_v12_ne100_md20_mss5_cwbalanced_smnone_th0.2,0.2,0.34782608695652173,0.7272727272727273,0.47058823529411764,0.95633608815427,16,30,6,630,full,none,2025-11-13T16:18:10.387339
RandomForest,RF_v13_ne200_mdNone_mss2_cwNone_smnone_th0.2,0.2,0.425,0.7727272727272727,0.5483870967741935,0.9701101928374656,17,23,5,637,full,none,2025-11-13T16:18:20.609621
RandomForest,RF_v14_ne200_mdNone_mss2_cwbalanced_smnone_th0.2,0.2,0.42857142857142855,0.5454545454545454,0.48,0.953202479338843,12,16,10,644,full,none,2025-11-13T16:18:28.158062
RandomForest,RF_v15_ne200_mdNone_mss5_cwNone_smnone_th0.2,0.2,0.4146341463414634,0.7727272727272727,0.5396825396825397,0.9674242424242424,17,24,5,636,full,none,2025-11-13T16:18:38.671337
RandomForest,RF_v16_ne200_mdNone_mss5_cwbalanced_smnone_th0.2,0.2,0.41935483870967744,0.5909090909090909,0.49056603773584906,0.9645316804407713,13,18,9,642,full,none,2025-11-13T16:18:46.218861
RandomForest,RF_v17_ne200_md10_mss2_cwNone_smnone_th0.2,0.2,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.965909090909091,17,22,5,638,full,none,2025-11-13T16:18:56.281418
RandomForest,RF_v18_ne200_md10_mss2_cwbalanced_smnone_th0.2,0.2,0.26153846153846155,0.7727272727272727,0.39080459770114945,0.9525137741046832,17,48,5,612,full,none,2025-11-13T16:19:03.059607
RandomForest,RF_v19_ne200_md10_mss5_cwNone_smnone_th0.2,0.2,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9674931129476585,17,21,5,639,full,none,2025-11-13T16:19:12.954119
RandomForest,RF_v20_ne200_md10_mss5_cwbalanced_smnone_th0.2,0.2,0.25,0.7727272727272727,0.37777777777777777,0.9536501377410469,17,51,5,609,full,none,2025-11-13T16:19:19.704255
RandomForest,RF_v21_ne200_md20_mss2_cwNone_smnone_th0.2,0.2,0.425,0.7727272727272727,0.5483870967741935,0.9701101928374656,17,23,5,637,full,none,2025-11-13T16:19:29.946745
